customer_id,age,gender,city,occupation,monthly_income,account_type,transaction_type,transaction_amount,channel,loan_status,loan_amount,repayment_delay_days,credit_score,loan_type,mobile_app_usage,monthly_login_frequency,branch_name,customer_segment,kyc_status,currency,collateral_type,sector_financed,days_past_due,relationship_years,approval_status,financing_officer_id,age_group
10001,56,Male,Mekelle,Government Employee,14954,Salary Account,Deposit,1074,Branch,Paid,79649,35,4,Trade Financing,Yes,1,Hawassa Branch,Retail,Verified,USD,No Collateral,Import Trade,32,4,Pending,FO020,Senior
10002,46,Male,Dire Dawa,Private Employee,22824,Salary Account,Transfer,51063,POS,Active,419600,103,1,Trade Financing,Yes,28,Adama Branch,Retail,Verified,ETB,No Collateral,Import Trade,36,8,Approved,FO004,Mid-Career
10003,32,Male,Adama,Small Business Owner,42496,Wadiah Deposit,Transfer,135055,Mobile Banking,Active,58152,89,1,Trade Financing,No,23,Addis Main Branch,Retail,Incomplete,ETB,Machinery,Agriculture,97,4,Approved,FO010,Adult
10004,60,Female,Dire Dawa,Government Employee,17262,Mudarabah Savings,Deposit,135055,Mobile Banking,Late Payment,468281,106,3,Agricultural Loan,Yes,33,Hawassa Branch,SME,Verified,ETB,Building,Retail Trade,121,14,Under Review,FO009,Senior
10005,25,Female,Dire Dawa,Farmer,14311,Salary Account,Transfer,1074,ATM,Active,187654,75,4,Trade Financing,Yes,16,Jimma Branch,Agricultural,Under Review,ETB,No Collateral,Health Services,67,6,Pending,FO015,Young
10006,38,Female,Dire Dawa,Small Business Owner,19622,Mudarabah Savings,Deposit,1074,ATM,Paid,6187,2,2,Murabaha Financing,Yes,26,Bahir Dar Branch,SME,Verified,ETB,Building,Construction,44,15,Under Review,FO005,Mid-Career
10007,56,Male,Addis Ababa,Merchant,22295,Wadiah Deposit,Transfer,1074,ATM,Active,353828,37,3,SME Financing,Yes,14,Dire Dawa Branch,Retail,Verified,ETB,Vehicle,Retail Trade,11,10,Approved,FO008,Senior
10008,36,Male,Addis Ababa,Government Employee,20836,Mudarabah Savings,Deposit,1074,ATM,Paid,233387,93,2,Vehicle Financing,Yes,32,Addis Main Branch,Retail,Verified,ETB,Building,Retail Trade,48,6,Approved,FO015,Mid-Career
10009,40,Female,Mekelle,University Lecturer,28097,Salary Account,Deposit,1074,Mobile Banking,Late Payment,464615,35,2,Trade Financing,No,6,Bole Branch,Diaspora,Under Review,ETB,Land,Import Trade,122,11,Pending,FO001,Mid-Career
10010,28,Male,Hawassa,Merchant,47095,Wadiah Deposit,Transfer,51063,ATM,Paid,77175,59,1,Agricultural Loan,No,31,Bahir Dar Branch,Agricultural,Verified,ETB,Building,Education,117,13,Rejected,FO007,Adult
10011,28,Female,Bahir Dar,Government Employee,22743,Savings Account,Withdrawal,51063,Mobile Banking,Active,71460,81,4,Agricultural Loan,No,4,Bahir Dar Branch,Retail,Verified,ETB,No Collateral,Manufacturing,69,4,Approved,FO014,Adult
10012,41,Female,Addis Ababa,Government Employee,10050,Wadiah Deposit,Deposit,135055,Branch,Paid,235534,76,2,SME Financing,Yes,12,Bole Branch,SME,Verified,ETB,Personal Guarantee,Import Trade,13,12,Approved,FO011,Mid-Career
10013,53,Female,Addis Ababa,Government Employee,16882,Mudarabah Savings,Withdrawal,135055,POS,Active,271329,66,3,Vehicle Financing,Yes,3,Bole Branch,Women Banking,Verified,ETB,Machinery,Construction,43,11,Approved,FO003,Senior
10014,57,Female,Addis Ababa,NGO Worker,50175,Wadiah Deposit,Withdrawal,1074,Branch,Active,225794,3,2,Murabaha Financing,No,10,Dire Dawa Branch,Agricultural,Verified,ETB,No Collateral,Retail Trade,15,11,Approved,FO002,Senior
10015,41,Male,Dire Dawa,Farmer,7226,Current Account,Transfer,135055,POS,Late Payment,5825,11,1,SME Financing,Yes,10,Bahir Dar Branch,Retail,Verified,USD,Building,Hospitality,59,1,Approved,FO008,Mid-Career
10016,20,Female,Addis Ababa,Small Business Owner,29702,Mudarabah Savings,Deposit,51063,ATM,Paid,412155,110,3,Trade Financing,No,19,Jimma Branch,Agricultural,Under Review,ETB,No Collateral,Retail Trade,8,13,Approved,FO020,Young
10017,39,Male,Addis Ababa,NGO Worker,38659,Salary Account,Withdrawal,1074,Mobile Banking,Paid,393214,10,3,SME Financing,Yes,33,Bole Branch,Youth Banking,Pending,ETB,Inventory,Import Trade,37,12,Rejected,FO014,Mid-Career
10018,19,Female,Bahir Dar,Government Employee,17534,Current Account,Deposit,135055,POS,Defaulted,116842,10,4,Vehicle Financing,Yes,3,Megenagna Branch,Agricultural,Verified,ETB,No Collateral,Import Trade,114,1,Approved,FO017,Young
10019,41,Female,Dire Dawa,University Lecturer,34704,Wadiah Deposit,Deposit,135055,Mobile Banking,Paid,164453,56,4,Murabaha Financing,Yes,5,Hawassa Branch,Agricultural,Incomplete,ETB,Building,Health Services,63,1,Approved,FO004,Mid-Career
10020,61,Female,Hawassa,Small Business Owner,73987,Wadiah Deposit,Withdrawal,135055,Branch,Paid,102753,42,3,Trade Financing,Yes,11,Megenagna Branch,Retail,Pending,ETB,Building,Export Trade,127,15,Pending,FO006,Senior
10021,47,Female,Dessie,Farmer,14024,Salary Account,Withdrawal,51063,ATM,Paid,490555,108,3,Vehicle Financing,Yes,28,Megenagna Branch,Agricultural,Under Review,ETB,Personal Guarantee,Import Trade,165,12,Approved,FO007,Mid-Career
10022,55,Male,Jimma,Teacher,10588,Savings Account,Deposit,51063,ATM,Active,213346,46,3,Agricultural Loan,No,10,Dire Dawa Branch,Agricultural,Verified,ETB,Machinery,Transportation,148,13,Approved,FO002,Senior
10023,19,Male,Addis Ababa,University Lecturer,25272,Current Account,Withdrawal,51063,POS,Paid,173886,20,2,SME Financing,Yes,24,Bahir Dar Branch,SME,Verified,ETB,Personal Guarantee,Health Services,66,8,Approved,FO015,Young
10024,38,Male,Addis Ababa,University Lecturer,26173,Wadiah Deposit,Withdrawal,135055,Branch,Active,327023,22,3,SME Financing,No,8,Bahir Dar Branch,Retail,Verified,EUR,No Collateral,Import Trade,77,14,Approved,FO002,Mid-Career
10025,50,Male,Bahir Dar,NGO Worker,17652,Salary Account,Deposit,1074,ATM,Active,137811,60,2,Vehicle Financing,Yes,24,Addis Main Branch,Diaspora,Verified,ETB,Inventory,Import Trade,23,10,Approved,FO008,Mid-Career
10026,29,Female,Hawassa,Merchant,17016,Salary Account,Withdrawal,1074,Branch,Active,304113,46,3,Vehicle Financing,No,30,Adama Branch,Retail,Verified,EUR,Inventory,Retail Trade,20,4,Approved,FO004,Adult
10027,39,Male,Addis Ababa,Merchant,23150,Mudarabah Savings,Withdrawal,51063,Branch,Late Payment,204688,80,1,Vehicle Financing,No,31,Adama Branch,Youth Banking,Verified,ETB,Personal Guarantee,Education,24,12,Approved,FO010,Mid-Career
10028,61,Male,Hawassa,Private Employee,14398,Current Account,Deposit,135055,Mobile Banking,Paid,463454,64,2,Trade Financing,No,21,Hawassa Branch,Diaspora,Under Review,ETB,Land,Hospitality,34,9,Approved,FO014,Senior
10029,42,Female,Dire Dawa,Private Employee,19516,Savings Account,Withdrawal,51063,Branch,Paid,229366,37,1,Vehicle Financing,No,9,Dire Dawa Branch,Retail,Verified,ETB,Building,Education,108,14,Approved,FO005,Mid-Career
10030,44,Male,Dessie,Farmer,5754,Current Account,Transfer,51063,Branch,Paid,384720,95,2,Agricultural Loan,Yes,7,Megenagna Branch,SME,Incomplete,ETB,Machinery,Construction,30,13,Approved,FO018,Mid-Career
10031,59,Male,Adama,Small Business Owner,23417,Savings Account,Deposit,135055,Branch,Active,198857,6,3,Agricultural Loan,Yes,31,Hawassa Branch,Agricultural,Verified,ETB,Machinery,Health Services,17,6,Pending,FO013,Senior
10032,45,Male,Jimma,Merchant,44447,Savings Account,Transfer,51063,Branch,Paid,257494,13,2,SME Financing,Yes,8,Adama Branch,Retail,Verified,ETB,Machinery,Export Trade,94,13,Approved,FO018,Mid-Career
10033,33,Male,Addis Ababa,Teacher,15260,Current Account,Deposit,51063,ATM,Late Payment,305181,64,2,Agricultural Loan,Yes,32,Addis Main Branch,Retail,Verified,ETB,Land,Manufacturing,96,10,Approved,FO012,Adult
10034,32,Female,Addis Ababa,Farmer,10872,Wadiah Deposit,Transfer,1074,Mobile Banking,Active,467748,115,2,Agricultural Loan,Yes,32,Bole Branch,Retail,Verified,ETB,No Collateral,Education,133,1,Approved,FO019,Adult
10035,64,Female,Addis Ababa,Merchant,14428,Wadiah Deposit,Transfer,135055,POS,Paid,403115,37,5,Murabaha Financing,No,2,Bole Branch,Corporate,Pending,ETB,Land,Export Trade,39,11,Approved,FO017,Senior
10036,61,Male,Dire Dawa,Teacher,8777,Salary Account,Withdrawal,1074,Mobile Banking,Paid,41597,49,5,SME Financing,Yes,7,Bahir Dar Branch,Corporate,Pending,ETB,Personal Guarantee,Manufacturing,6,1,Approved,FO005,Senior
10037,20,Female,Hawassa,Government Employee,23802,Salary Account,Deposit,135055,ATM,Active,41793,72,2,Murabaha Financing,Yes,28,Bahir Dar Branch,SME,Verified,USD,Personal Guarantee,Agriculture,11,4,Under Review,FO005,Young
10038,54,Male,Addis Ababa,Farmer,7422,Mudarabah Savings,Deposit,1074,ATM,Late Payment,157608,29,1,Murabaha Financing,Yes,12,Bole Branch,Youth Banking,Pending,ETB,Inventory,Transportation,11,3,Approved,FO012,Senior
10039,24,Male,Dire Dawa,University Lecturer,40602,Mudarabah Savings,Withdrawal,51063,POS,Active,364347,33,1,SME Financing,Yes,17,Dire Dawa Branch,Diaspora,Verified,ETB,Vehicle,Construction,94,11,Approved,FO005,Young
10040,38,Male,Adama,Small Business Owner,33219,Savings Account,Withdrawal,1074,ATM,Defaulted,9214,25,1,Agricultural Loan,Yes,9,Bole Branch,Women Banking,Verified,ETB,Vehicle,Import Trade,115,10,Approved,FO014,Mid-Career
10041,26,Female,Hawassa,Small Business Owner,65524,Savings Account,Transfer,135055,ATM,Paid,256965,52,3,Agricultural Loan,No,32,Bahir Dar Branch,Retail,Pending,ETB,No Collateral,Manufacturing,123,9,Approved,FO006,Adult
10042,56,Female,Adama,NGO Worker,23781,Wadiah Deposit,Deposit,1074,Mobile Banking,Defaulted,489574,16,1,Vehicle Financing,No,3,Megenagna Branch,Retail,Verified,USD,Personal Guarantee,Manufacturing,151,15,Approved,FO010,Senior
10043,35,Female,Addis Ababa,Small Business Owner,27207,Mudarabah Savings,Withdrawal,51063,Mobile Banking,Paid,474252,85,2,Agricultural Loan,Yes,10,Bole Branch,Retail,Verified,USD,Land,Hospitality,99,15,Approved,FO015,Adult
10044,21,Female,Addis Ababa,Farmer,7736,Savings Account,Withdrawal,1074,Mobile Banking,Paid,254696,106,3,Murabaha Financing,Yes,8,Hawassa Branch,Corporate,Verified,ETB,Machinery,Construction,87,15,Rejected,FO015,Young
10045,42,Female,Addis Ababa,Merchant,46101,Savings Account,Transfer,51063,POS,Paid,108855,18,1,Vehicle Financing,Yes,8,Megenagna Branch,Retail,Verified,ETB,Building,Transportation,99,6,Approved,FO016,Mid-Career
10046,31,Female,Addis Ababa,University Lecturer,41267,Savings Account,Transfer,51063,Mobile Banking,Defaulted,133399,61,2,Murabaha Financing,No,20,Dire Dawa Branch,SME,Verified,ETB,No Collateral,Construction,104,2,Under Review,FO015,Adult
10047,26,Male,Dire Dawa,NGO Worker,44495,Current Account,Withdrawal,51063,POS,Paid,440578,12,2,Vehicle Financing,Yes,10,Megenagna Branch,Agricultural,Verified,ETB,No Collateral,Construction,69,6,Approved,FO010,Adult
10048,43,Female,Adama,Government Employee,12878,Mudarabah Savings,Transfer,1074,ATM,Active,389823,79,3,Trade Financing,Yes,26,Adama Branch,Retail,Verified,ETB,Building,Import Trade,113,3,Approved,FO017,Mid-Career
10049,19,Male,Hawassa,University Lecturer,30870,Wadiah Deposit,Deposit,135055,POS,Paid,422799,43,1,Agricultural Loan,Yes,12,Megenagna Branch,SME,Verified,ETB,Building,Hospitality,64,12,Approved,FO016,Young
10050,37,Male,Addis Ababa,Farmer,14284,Current Account,Transfer,135055,POS,Paid,163927,117,2,Vehicle Financing,Yes,33,Dire Dawa Branch,Retail,Pending,ETB,Building,Education,140,12,Approved,FO019,Mid-Career
10051,45,Female,Bahir Dar,Private Employee,27328,Salary Account,Deposit,135055,Branch,Active,493443,27,3,SME Financing,No,17,Bole Branch,Corporate,Verified,ETB,Building,Health Services,75,6,Rejected,FO006,Mid-Career
10052,64,Male,Addis Ababa,Teacher,16869,Savings Account,Withdrawal,51063,Branch,Late Payment,93126,104,3,Vehicle Financing,Yes,1,Megenagna Branch,Diaspora,Under Review,ETB,Machinery,Transportation,48,12,Approved,FO001,Senior
10053,24,Male,Addis Ababa,Private Employee,25059,Savings Account,Withdrawal,1074,ATM,Paid,482869,103,4,Vehicle Financing,No,11,Bahir Dar Branch,SME,Verified,ETB,Machinery,Health Services,150,8,Approved,FO012,Young
10054,61,Male,Adama,Government Employee,11439,Savings Account,Transfer,135055,ATM,Active,295152,45,2,Murabaha Financing,No,14,Addis Main Branch,Retail,Pending,ETB,Inventory,Hospitality,52,11,Approved,FO005,Senior
10055,25,Female,Dire Dawa,Teacher,18900,Wadiah Deposit,Withdrawal,135055,Mobile Banking,Paid,30355,81,1,Murabaha Financing,Yes,21,Bole Branch,Corporate,Verified,ETB,Vehicle,Manufacturing,178,10,Approved,FO015,Young
10056,64,Female,Addis Ababa,University Lecturer,30004,Current Account,Transfer,135055,POS,Late Payment,266830,104,1,SME Financing,Yes,33,Hawassa Branch,Retail,Pending,SAR,Personal Guarantee,Agriculture,29,14,Approved,FO005,Senior
10057,52,Male,Dessie,Teacher,8918,Savings Account,Transfer,51063,Branch,Active,447176,75,5,Agricultural Loan,Yes,17,Bole Branch,Retail,Verified,ETB,Personal Guarantee,Education,86,4,Approved,FO010,Senior
10058,31,Female,Bahir Dar,Government Employee,10960,Current Account,Transfer,1074,Mobile Banking,Active,143160,80,3,Vehicle Financing,Yes,10,Jimma Branch,Agricultural,Verified,ETB,No Collateral,Export Trade,104,11,Approved,FO014,Adult
10059,34,Male,Adama,Private Employee,22492,Savings Account,Transfer,135055,Branch,Paid,435814,110,2,Murabaha Financing,Yes,34,Addis Main Branch,Women Banking,Verified,SAR,No Collateral,Retail Trade,140,2,Pending,FO001,Adult
10060,53,Female,Bahir Dar,NGO Worker,32111,Current Account,Deposit,135055,Mobile Banking,Paid,451298,82,2,Agricultural Loan,No,8,Adama Branch,Youth Banking,Verified,ETB,Vehicle,Education,60,14,Approved,FO014,Senior
10061,57,Male,Addis Ababa,NGO Worker,25253,Current Account,Deposit,135055,Branch,Active,95554,105,3,Vehicle Financing,No,28,Megenagna Branch,SME,Verified,ETB,Machinery,Retail Trade,102,8,Approved,FO001,Senior
10062,21,Male,Bahir Dar,Teacher,18331,Mudarabah Savings,Withdrawal,135055,Mobile Banking,Late Payment,219262,57,5,Trade Financing,No,31,Hawassa Branch,Retail,Incomplete,ETB,Land,Import Trade,143,15,Approved,FO015,Young
10063,19,Female,Jimma,Private Employee,12242,Current Account,Transfer,1074,POS,Paid,301879,35,3,Murabaha Financing,Yes,31,Bole Branch,Corporate,Verified,ETB,Personal Guarantee,Transportation,147,9,Approved,FO015,Young
10064,23,Female,Jimma,Teacher,13402,Current Account,Withdrawal,135055,Mobile Banking,Paid,435288,100,4,Trade Financing,No,10,Jimma Branch,Retail,Verified,ETB,Inventory,Education,54,3,Approved,FO002,Young
10065,59,Female,Bahir Dar,Private Employee,11782,Wadiah Deposit,Transfer,135055,ATM,Paid,372799,38,2,Vehicle Financing,Yes,28,Adama Branch,Retail,Verified,ETB,Machinery,Construction,78,2,Pending,FO014,Senior
10066,21,Female,Dessie,Private Employee,28678,Current Account,Withdrawal,135055,Mobile Banking,Active,21698,18,2,Vehicle Financing,Yes,24,Adama Branch,Diaspora,Verified,USD,Personal Guarantee,Agriculture,72,6,Approved,FO003,Young
10067,46,Female,Dire Dawa,Teacher,13971,Current Account,Deposit,1074,Branch,Defaulted,461070,117,1,Trade Financing,Yes,4,Adama Branch,Retail,Verified,ETB,Machinery,Import Trade,129,10,Approved,FO009,Mid-Career
10068,35,Male,Addis Ababa,Teacher,20019,Wadiah Deposit,Withdrawal,1074,POS,Paid,499914,107,4,Murabaha Financing,Yes,32,Hawassa Branch,Youth Banking,Pending,USD,Inventory,Hospitality,77,9,Approved,FO003,Adult
10069,43,Male,Jimma,University Lecturer,19766,Salary Account,Transfer,135055,Mobile Banking,Paid,154199,87,2,SME Financing,Yes,21,Jimma Branch,Agricultural,Under Review,ETB,Inventory,Transportation,96,9,Approved,FO007,Mid-Career
